source_id	name	closes_gap	use	structures	redistribution	access	priority	status	verified_on	url	rationale
chembl-activity	ChEMBL bioactivities	activity_spectrum	CURATE_ONLY	COMPLETE	SHARE_ALIKE	BULK	4	CANDIDATE	2026-08-29	https://www.ebi.ac.uk/chembl/	Best assay-attached activity source, and it carries CO-ADD's ~100K antimicrobial measurements (src_id 40) with organism, concentration, medium and detection method genuinely attached. But CC BY-SA 3.0 is copyleft: content can be aggregated alongside, never relabelled, and a share-alike obligation would propagate to the whole corpus. Refused for seeding under the corpus's CC BY 4.0 record licence (#27, decided): share-alike would propagate to every downstream user, which CC BY does not. Second trap: a ChEMBL 'parent' is not a guarantee of one component; GetParent leaves genuine mixtures, all-salt records and organometallics unreduced.
stanford-hivdb	Stanford HIV Drug Resistance Database	resistance_mechanisms	SEED	NONE	UNVERIFIED	BULK	2	CANDIDATE	2026-08-31	https://hivdb.stanford.edu/	All 474 antiviral records carry empty resistance_mechanisms because CARD has nothing for viruses; HIVDB is the strongest HIV-specific candidate but HBV/HSV/influenza remain open. The current HTML shell, asset manifest, CMS repository, and public pages expose no database-data reuse grant; the CMS GPL covers software/content code and is not treated as a database licence. REQUEST SENT 2026-08-31 through the official Sierra tracker: https://github.com/hivdb/sierra/issues/40. Response pending. Remains UNVERIFIED and must not be seeded until an authorized answer covers the database content and named endpoints.
npatlas	NPAtlas	producer_organisms	CURATE_ONLY	COMPLETE	NON_COMMERCIAL	BULK	5	BLOCKED	2026-08-29	https://www.npatlas.org/	"BLOCKED on licence. npatlas.org/about states verbatim: ""The Natural Products Atlas is licensed under a Creative Commons Attribution-Noncommercial 4.0 International License"" (database version 2024_09, checked 2026-08-29). NonCommercial is incompatible with the corpus's CC BY 4.0 record licence — it would restrict every downstream user of this corpus, which CC0 and CC BY 4.0 both refuse to do. Excellent content for a curator to consult; it cannot be seeded. Compare MIBiG, which closes the same gap under CC BY 4.0."
co-add	CO-ADD	activity_spectrum	CURATE_ONLY	PARTIAL	RESTRICTED	BULK	5	BLOCKED	2026-08-31	https://db.co-add.org/downloads/	The official r03.02-2020 complete CSV archive is live and contains inhibition and dose-response rows with SMILES, assay, organism/strain, concentration or response, and units. The archive contains no README or licence. CO-ADD's Privacy & Copyright page reserves all rights, allows copies only for personal non-commercial use, prohibits systematic download/storage, and requires prior written permission for reproduction/transmission; availability of the bulk download does not override those terms. ChEMBL src_id 40 remains separately CC BY-SA 3.0. A request naming the two official CSV files is archived in research/2026-08-31-reuse-terms-outreach.md. REQUEST DRAFTED, NOT SENT; response: none. Blocked unless CO-ADD grants modification and commercial redistribution of its own bulk files and identifies attribution and third-party exclusions.
bv-brc	BV-BRC	activity_spectrum	SEED	NONE	UNVERIFIED	BULK	4	CANDIDATE	2026-08-31	https://www.bv-brc.org/	AMR phenotypes carry organism, strain, method, evidence and prediction fields, but roughly 93 percent are computational predictions; a later extractor must require evidence=Laboratory Method and reject every computational row. The website, privacy policy, official documentation repository, and MIT-licensed API software do not grant reuse rights for API data; software licensing is not a data licence. REQUEST SENT 2026-08-31 through the official API tracker: https://github.com/BV-BRC/BV-BRC-API/issues/204. Response pending. Remains UNVERIFIED until an authorized answer covers the public genome_amr data content.
bacdive	BacDive	activity_spectrum	SEED	NONE	ATTRIBUTION	BOTH	3	CANDIDATE	2026-08-31	https://bacdive.dsmz.de/	BacDive's current site footer explicitly links CC BY 4.0 as its Copyright & License statement, permitting modification and commercial redistribution with attribution. The strain pages/API expose susceptibility data but drug identity is name-level, so exact chemical grounding remains separate work. REQUEST SENT 2026-08-31 through the official BacDive API tracker: https://github.com/LeibnizDSMZ/bacdive-api/issues/1. Response pending. Terms look compatible, but no data are adopted until DSMZ confirms the scope for API/bulk susceptibility content and identifies any third-party exclusions.
drugcentral	DrugCentral	clinical_status	CURATE_ONLY	COMPLETE	SHARE_ALIKE	BULK	5	BLOCKED	2026-08-30	https://drugcentral.org/	Approval, indication, route, structure, and target data are valuable for validation, but the database download is CC BY-SA 4.0. ShareAlike is incompatible with seeding derived record content under the corpus's CC BY 4.0 licence. Use FDA data first; keep DrugCentral as curator reference or in a separately licensed sidecar.
who-aware	WHO AWaRe	classification	CURATE_ONLY	NONE	NON_COMMERCIAL	MANUAL	5	BLOCKED	2026-08-30	https://www.who.int/publications-detail-redirect/2021-aware-classification	Access/Watch/Reserve classification for 258 antibiotics. The AWaRe antibiotic book is CC BY-NC-SA 3.0 IGO, so its NonCommercial and ShareAlike obligations make it unsuitable for seeding into the CC BY 4.0 corpus; use as curator reference or a separately licensed sidecar.
who-atc	WHO ATC/DDD	classification	REFERENCE	NONE	UNVERIFIED	MANUAL	4	CANDIDATE		https://atcddd.fhi.no/atc_ddd_index/	ATC is a distinct dataset from AWaRe and needs its own current terms review. Do not transfer the AWaRe licence conclusion to ATC merely because both sit in the WHO ecosystem.
clinicaltrials-gov	ClinicalTrials.gov	clinical_status	CURATE_ONLY	NONE	RESTRICTED	BOTH	4	BLOCKED	2026-08-30	https://clinicaltrials.gov/about-site/terms-conditions	Trial interventions, phase, recruitment status, dates, and NCT identifiers are useful investigational evidence, not regulatory status. Terms require attribution, current data, processing date, and modification disclosure and warn of international and third-party copyrights. Use as cited curator evidence pending legal review; never infer INVESTIGATIONAL from a name mention or completed study alone.
who-antibacterial-pipeline	WHO antibacterial clinical pipeline	clinical_status	CURATE_ONLY	PARTIAL	NON_COMMERCIAL	BULK	5	BLOCKED	2026-08-30	https://www.who.int/observatories/global-observatory-on-health-research-and-development/monitoring/antibacterial-products-in-clinical-development-for-priority-pathogens/	Expert-curated antibacterial candidates, phases, expected pathogen activity, route, target/mechanism and innovation. The associated 2025 report/data use CC BY-NC-SA 3.0 IGO terms; keep in a non-commercial/share-alike sidecar or curator workflow, not the main CC BY 4.0 corpus.
chebi-citations	ChEBI entry citations	evidence	SEED	NONE	ATTRIBUTION	BULK	3	CANDIDATE		https://www.ebi.ac.uk/chebi/	Already extracted into a citations column that nothing reads. A ChEBI entry's references support the COMPOUND, not necessarily an antimicrobial claim about it, so seeding them into evidence needs a stated rule first.
lotus	LOTUS	producer_organisms	SEED	COMPLETE	CC0_OK	BULK	3	CANDIDATE	2026-08-30	https://lotus.nprod.net/	CC0 natural-product structure-organism-reference occurrences distributed through Wikidata. Follow MIBiG and measure incremental coverage. An occurrence in a taxon does not necessarily mean biosynthetic production, so populate producer_organisms only when the cited source explicitly supports production; otherwise a separate occurrence field is needed.
coconut	COCONUT	structures	SEED	COMPLETE	UNVERIFIED	BULK	4	CANDIDATE	2026-08-30	https://coconut.naturalproducts.net/	COCONUT describes the curated collection as CC0, but its terms also preserve original data-owner rights. A whole-dataset CC0 label is therefore insufficient for aggregated upstream rows. Preserve source-level provenance and exclude rows without compatible source terms before considering adoption.
norine	Norine	structures	CURATE_ONLY	COMPLETE	UNVERIFIED	BOTH	4	CANDIDATE	2026-08-29	https://bioinfo.lifl.fr/norine/	Nonribosomal peptides with monomer-level representation. Sharpened by a verified finding: the Standard InChIKey does not recognise some 1,5 keto-enol tautomers as the same compound, cannot express cis/trans in organometallics, and does not support relative stereochemistry — all live risks for macrocyclic peptides, where our identity model keys on exactly that hash.
classyfire	ClassyFire and NPClassifier	classification	SEED	NONE	UNVERIFIED	API	4	CANDIDATE		http://classyfire.wishartlab.com/	Computed structural classes would give structural_class to the records CARD does not cover. Computed, not asserted, so it needs its own provenance marker.
antismash-db	antiSMASH database	producer_organisms	REFERENCE	NONE	UNVERIFIED	BULK	4	CANDIDATE		https://antismash-db.secondarymetabolites.org/	Predicted clusters across sequenced genomes. Predictions are not evidence of production; useful for leads, not for seeding.
megares	MEGARes	resistance_mechanisms	REFERENCE	NONE	UNVERIFIED	BULK	4	CANDIDATE		https://www.meglab.org/megares/	Resistance gene database assembled from CARD, ResFinder, AMRFinderPlus and other sources. Mixed upstream terms and substantial overlap make source-level licensing and incremental-coverage analysis mandatory before use.
amrfinderplus	NCBI AMRFinderPlus	resistance_mechanisms	REFERENCE	NONE	CC0_OK	BULK	3	EVALUATING	2026-09-01	https://github.com/ncbi/amr	The public-domain 2026-08-07.1 audit compares 1457 reportable AMR families and 8493 catalog alleles against the 2010 ARO determinants already represented. Exact normalized names overlap for 494 families, a strict lower bound rather than an ontology mapping. The catalog adds primary-PMID and class/subclass evidence, but its drug strings are categories or ungrounded names rather than structure identifiers. No row is seeded: a family/class entry does not establish resistance to every individual compound in that class, and name matching cannot satisfy the corpus identity gate.
ncbi-ast	NCBI Pathogen Detection AST	activity_spectrum	REFERENCE	NONE	UNVERIFIED	BOTH	2	EVALUATING	2026-09-01	https://www.ncbi.nlm.nih.gov/pathogens/docs/ast/	Downloadable submitter-provided phenotypic MIC and disk-diffusion observations preserve BioSample, organism, antibiotic, phenotype, measurement qualifier, method, platform and standard. License resolution is explicitly deferred for this implementation pass. No row is seeded because the antibiotic field is not a structure identifier, NCBI does not verify relationships between submitted fields, and cross-project deduplication is unresolved. A future technical import must establish exact chemical identity and deduplicate CRyPTIC and other project deposits by BioSample/BioProject; licensing is a separate later decision.
rcsb-pdb	RCSB Protein Data Bank	molecular_targets	REFERENCE	PARTIAL	CC0_OK	BOTH	3	EVALUATING	2026-09-01	https://www.rcsb.org/pages/usage-policy	The CC0 API audit queries the compounds carrying 95 established BindingDB targets, requiring both an exact Standard InChIKey and an existing target UniProt accession. It finds 42 candidate PDB entries across 8 records and preserves PDB plus primary citation metadata. No evidence is seeded yet: entry-level ligand/protein co-occurrence does not prove atomic contact, and repeated BindingDB variant labels inflate the 243 raw target-entry pairs. Adoption requires component-specific ligand-to-polymer contact validation and deduplication to the stable target identity.
drugbank	DrugBank	clinical_status	CURATE_ONLY	COMPLETE	UNVERIFIED	BULK	5	BLOCKED		https://go.drugbank.com/	Excellent data, but the licence does not permit redistribution in a CC0 knowledge base. Usable as a curator reference only, never seeded. Terms NOT verified against the source's own licence page by this repository — the restrictive reading is widely known but unchecked here, so the row stays UNVERIFIED and BLOCKED rather than claiming a determination nobody made.
kegg-drug	KEGG DRUG	classification	CURATE_ONLY	PARTIAL	UNVERIFIED	API	5	BLOCKED		https://www.kegg.jp/kegg/drug/	Same shape of problem as DrugBank: freely readable, not freely redistributable. ChEBI already carries kegg.compound and kegg.drug cross-references, which is the useful half. Terms NOT verified against the source's own licence page by this repository — the restrictive reading is widely known but unchecked here, so the row stays UNVERIFIED and BLOCKED rather than claiming a determination nobody made.
clsi	CLSI breakpoint standards	activity_spectrum	REFERENCE	NONE	UNVERIFIED	MANUAL	5	BLOCKED		https://clsi.org/	Paywalled standards documents. A curator may consult them; the corpus cannot carry them. Terms NOT verified against the source's own licence page by this repository — the restrictive reading is widely known but unchecked here, so the row stays UNVERIFIED and BLOCKED rather than claiming a determination nobody made.
eucast	EUCAST breakpoint tables	activity_spectrum	CURATE_ONLY	NONE	RESTRICTED	BULK	5	BLOCKED	2026-08-30	https://www.eucast.org/bacteria/clinical-breakpoints-and-interpretation/clinical-breakpoint-tables/	Current XLS/PDF tables provide versioned clinical interpretation thresholds, not measured MIC observations. EUCAST allows reuse with attribution but prohibits resale, which is incompatible with unrestricted commercial redistribution of the corpus. Keep in a versioned standards sidecar or curator tooling.
discovery-literature	Discovery and review literature	causal_graphs	REFERENCE	NONE	UNVERIFIED	MANUAL	5	CANDIDATE		https://pubmed.ncbi.nlm.nih.gov/	Present so the gap is visible rather than absent. causal_graphs is 0% and is the thing this repository exists to hold, but it is not ingestible from any database: a mechanism graph is curator-authored from primary literature, one compound at a time, with every edge carrying its own citation. Listed as REFERENCE to record that no source will close this column and the work belongs in NEXT_TASKS, not here.
