target_id	target_relation	target_type	rationale
ARO:3000735	DIRECT_BINDING_TARGET	PROTEIN	ParC is asserted as the fluoroquinolone-sensitive subunit.
ARO:3000736	DIRECT_BINDING_TARGET	PROTEIN	Rho termination factor is asserted as the antibiotic target.
ARO:3000737	DIRECT_BINDING_TARGET	PROTEIN_COMPLEX	RpoB is asserted as a target in the RNA polymerase complex.
ARO:3000738	ATTACKED_COMPONENT	NUCLEIC_ACID	ARO describes DNA strand damage or transcription interference.
ARO:3000739	DIRECT_BINDING_TARGET	NUCLEIC_ACID	ARO asserts competition at the RNA guanosine-binding site.
ARO:3000740	ATTACKED_COMPONENT	NUCLEIC_ACID	ARO describes RNA strand damage across multiple RNA types.
ARO:3000741	ATTACKED_COMPONENT	NUCLEIC_ACID	ARO describes exposed DNA bases in the transcription complex.
ARO:3000742	ATTACKED_COMPONENT	NUCLEIC_ACID	Activated nitroimidazole intermediates attack DNA in anaerobic context.
ARO:3000743	DIRECT_BINDING_TARGET	PROTEIN	DXR is asserted as the enzyme target.
ARO:3000744	DIRECT_BINDING_TARGET	PROTEIN	Dihydropteroate synthase is asserted as the inhibited enzyme.
ARO:3000745	DIRECT_BINDING_TARGET	PROTEIN	Dihydrofolate reductase is asserted as the inhibited enzyme.
ARO:3000749	DIRECT_BINDING_TARGET	PROTEIN	Penicillin-binding proteins are asserted as inhibited transpeptidases.
ARO:3000754	DIRECT_BINDING_TARGET	NUCLEIC_ACID	23S rRNA peptidyl-transferase center is asserted as the target.
ARO:3000755	DIRECT_BINDING_TARGET	NUCLEIC_ACID	16S rRNA is asserted as the target.
ARO:3000756	DIRECT_BINDING_TARGET	RIBOSOMAL_SUBUNIT	The 30S P-site is asserted as the target site.
ARO:3000757	DIRECT_BINDING_TARGET	RIBOSOMAL_SUBUNIT	The 50S P-site is asserted as the target site.
ARO:3000763	DIRECT_BINDING_TARGET	PROTEIN	EmbC is asserted as the antibiotic-sensitive enzyme.
ARO:3000764	DIRECT_BINDING_TARGET	PROTEIN	EmbA is asserted as the antibiotic-sensitive enzyme.
ARO:3000765	DIRECT_BINDING_TARGET	PROTEIN	EmbB is asserted as the antibiotic-sensitive enzyme.
ARO:3000872	DIRECT_BINDING_TARGET	PROTEIN	Enoyl-ACP reductase is asserted as the blocked enzyme.
ARO:3003231	ATTACKED_COMPONENT	CELL_WALL_COMPONENT	Lipid II is a cell-wall precursor bound or attacked by antibiotics.
ARO:3003232	ATTACKED_COMPONENT	CELL_WALL_COMPONENT	Lipid III is a wall-teichoic-acid precursor rather than a protein.
ARO:3003251	ATTACKED_COMPONENT	CELL_WALL_COMPONENT	Undecaprenyl pyrophosphate is a cell-wall carrier intermediate.
ARO:3003253	DIRECT_BINDING_TARGET	PROTEIN	ParY is asserted as the aminocoumarin-sensitive subunit.
ARO:3003260	DIRECT_BINDING_TARGET	PROTEIN	GyrB is asserted as the aminocoumarin-sensitive subunit.
ARO:3003261	DIRECT_BINDING_TARGET	PROTEIN	GyrB is asserted as the fluoroquinolone-sensitive subunit.
ARO:3003275	SUSCEPTIBILITY_DETERMINANT	PROTEIN	ARO cites cls mutations conferring daptomycin resistance; this does not prove direct binding.
ARO:3003278	DOWNSTREAM_AFFECTED_PROCESS	BIOLOGICAL_PROCESS	ARO describes RNA-synthesis failure downstream of daptomycin membrane depolarization, not rpoB binding.
ARO:3003280	SUSCEPTIBILITY_DETERMINANT	PROTEIN	ARO describes mprF membrane-charge effects and resistance mutations, not direct binding.
ARO:3003281	SUSCEPTIBILITY_DETERMINANT	PROTEIN	ARO associates pgsA with membrane phospholipid state; direct daptomycin binding is not established.
ARO:3003292	RESISTANCE_DETERMINANT	PROTEIN	The ARO term is explicitly fluoroquinolone-resistant gyrA with resistance-conferring mutations.
ARO:3003426	DIRECT_BINDING_TARGET	PROTEIN	InhA is asserted as the antibiotic-sensitive enzyme.
ARO:3003431	DIRECT_BINDING_TARGET	PROTEIN	Ribosomal protein S12 is asserted as targeted and inhibited by streptomycin.
ARO:3003439	DIRECT_BINDING_TARGET	PROTEIN_COMPLEX	The RNA polymerase switch region is asserted as the target site.
ARO:3003473	SUSCEPTIBILITY_DETERMINANT	PROTEIN	ARO states only that wild-type embR is antibiotic-sensitive; direct binding is not asserted.
ARO:3003475	REQUIRED_UPTAKE_OR_ACTIVATION_FACTOR	PROTEIN	EthA activates thiocarbamide prodrugs into cytotoxic species.
ARO:3003478	DIRECT_BINDING_TARGET	PROTEIN	KasA is asserted as the antibiotic-sensitive enzyme.
